date,open,high,low,close,volume,fear_greed,vix,sentiment
2026-04-06T00:00:00+00:00,68978.91,69491.65,68978.91,69300.31,0,55.5,24.17,0.0
2026-04-06T00:05:00+00:00,69296.93,69419.63,69296.93,69331.2,615327744,55.5,24.17,0.4
2026-04-06T00:10:00+00:00,69312.76,69312.76,69177.87,69188.83,270247936,55.4,24.17,-1.4
2026-04-06T00:15:00+00:00,69204.79,69304.21,69189.52,69189.52,221984768,55.4,24.17,-1.4
2026-04-06T00:20:00+00:00,69201.12,69201.12,69111.02,69200.2,31416320,55.4,24.17,-1.3
2026-04-06T00:25:00+00:00,69236.87,69236.87,69141.41,69141.41,327378944,55.4,24.17,-2.1
2026-04-06T00:30:00+00:00,69166.47,69276.66,69166.47,69214.52,100562944,55.5,24.17,-1.1
2026-04-06T00:35:00+00:00,69099.84,69203.49,69099.84,69203.49,67610624,55.5,24.17,-1.3
2026-04-06T00:40:00+00:00,69207.6,69310.17,69207.6,69293.52,218126336,55.6,24.17,-0.1
2026-04-06T00:45:00+00:00,69284.87,69290.32,69260.55,69260.98,94840832,55.6,24.17,-0.5
2026-04-06T00:50:00+00:00,69201.84,69236.82,69160.14,69160.14,31549440,55.4,24.17,-1.8
2026-04-06T00:55:00+00:00,69133.84,69133.84,69076.71,69076.71,103436288,55.3,24.17,-3.3
2026-04-06T01:00:00+00:00,69063.72,69076.62,68950.16,68950.16,51611648,55.1,24.17,-3.1
2026-04-06T01:05:00+00:00,68884.05,68956.48,68884.05,68898.49,123547648,55.0,24.17,-3.8
2026-04-06T01:10:00+00:00,68893.45,68940.35,68893.45,68915.52,129869824,48.1,24.17,-3.7
2026-04-06T01:15:00+00:00,68845.61,68866.01,68840.73,68840.73,181274624,46.6,24.17,-3.9
2026-04-06T01:20:00+00:00,68840.27,68921.28,68817.03,68921.28,69111808,50.2,24.17,-3.8
2026-04-06T01:25:00+00:00,68921.61,68968.26,68921.61,68947.88,87691264,50.9,24.17,-3.3
2026-04-06T01:30:00+00:00,68945.15,68945.15,68861.22,68861.22,74346496,49.5,24.17,-5.6
2026-04-06T01:35:00+00:00,68845.65,68870.41,68832.05,68843.59,60676096,50.0,24.17,-5.4
2026-04-06T01:40:00+00:00,68898.36,68898.36,68792.64,68792.64,37416960,47.6,24.17,-4.8
2026-04-06T01:45:00+00:00,68782.65,68829.7,68782.65,68822.71,61894656,48.5,24.17,-3.3
2026-04-06T01:50:00+00:00,68799.38,68821.98,68797.42,68797.42,77813760,45.8,24.17,-2.0
2026-04-06T01:55:00+00:00,68784.72,68801.54,68784.72,68801.54,90697728,46.2,24.17,-1.3
2026-04-06T02:00:00+00:00,68780.35,68844.75,68780.35,68844.75,0,48.6,24.17,-0.9
2026-04-06T02:05:00+00:00,68893.48,68902.91,68821.62,68821.62,13352960,49.3,24.17,-0.2
2026-04-06T02:10:00+00:00,68908.9,69204.85,68908.9,69204.85,24473600,60.0,24.17,3.7
2026-04-06T02:15:00+00:00,69106.33,69180.83,69096.94,69148.59,239276032,59.8,24.17,2.6
2026-04-06T02:20:00+00:00,69237.37,69237.37,69164.72,69164.72,56094720,59.8,24.17,4.0
2026-04-06T02:25:00+00:00,69129.25,69190.54,69127.25,69190.54,171018240,61.8,24.17,4.5
2026-04-06T02:30:00+00:00,69202.04,69365.11,69202.04,69365.11,96747520,63.0,24.17,7.5
2026-04-06T02:35:00+00:00,69321.89,69321.89,69255.8,69255.8,125417472,60.3,24.17,5.7
2026-04-06T02:40:00+00:00,69247.18,69247.18,69172.96,69184.66,78888960,60.4,24.17,5.1
2026-04-06T02:45:00+00:00,69178.69,69256.63,69178.69,69244.92,113575936,61.4,24.17,5.8
2026-04-06T02:50:00+00:00,69222.77,69266.02,69196.77,69196.77,43487232,61.4,24.17,4.6
2026-04-06T02:55:00+00:00,69195.76,69236.07,69195.76,69227.78,178843648,61.4,24.17,5.3
2026-04-06T03:00:00+00:00,69207.96,69217.37,69197.53,69197.53,102678528,61.3,24.17,-0.1
2026-04-06T03:05:00+00:00,69189.98,69208.87,69156.41,69156.41,46817280,60.4,24.17,0.1
2026-04-06T03:10:00+00:00,69147.62,69193.93,69143.45,69143.45,85753856,59.7,24.17,-0.3
2026-04-06T03:15:00+00:00,69099.18,69132.19,69099.18,69122.52,61921280,59.7,24.17,-0.9
2026-04-06T03:20:00+00:00,69069.49,69116.79,69069.49,69084.8,86038528,53.1,24.17,-3.6
2026-04-06T03:25:00+00:00,69130.7,69165.2,69130.7,69161.55,108830720,55.9,24.17,-1.2
2026-04-06T03:30:00+00:00,69159.57,69183.74,69150.29,69167.67,60323840,55.7,24.17,-0.2
2026-04-06T03:35:00+00:00,69174.54,69188.1,69159.39,69159.39,24193024,55.0,24.17,-1.1
2026-04-06T03:40:00+00:00,69147.12,69147.12,69059.57,69102.05,0,49.1,24.17,-1.2
2026-04-06T03:45:00+00:00,69090.88,69123.22,69082.6,69082.6,84441088,50.5,24.17,-1.9
2026-04-06T03:50:00+00:00,69083.74,69103.48,69044.99,69059.61,3436544,51.5,24.17,-1.8
2026-04-06T03:55:00+00:00,69046.89,69066.52,69046.89,69061.84,169426944,48.8,24.17,-1.2
2026-04-06T04:00:00+00:00,69082.08,69140.91,69082.08,69140.91,0,53.7,24.17,-0.0
2026-04-06T04:05:00+00:00,69173.92,69173.92,69041.93,69041.93,102397952,50.0,24.17,-1.0
2026-04-06T04:10:00+00:00,69019.36,69019.36,69003.3,69015.3,93992960,50.0,24.17,-0.9
2026-04-06T04:15:00+00:00,69031.84,69031.84,69013.76,69021.02,70141952,51.1,24.17,-1.8
2026-04-06T04:20:00+00:00,68998.87,68998.87,68976.66,68984.81,0,50.6,24.17,-2.4
2026-04-06T04:25:00+00:00,68974.78,68984.67,68963.09,68963.09,116967424,50.5,24.17,-2.6
2026-04-06T04:30:00+00:00,68970.75,69008.53,68970.45,68995.16,77363200,52.6,24.17,-1.4
