date,open,high,low,close,volume,delta,macro,macro_slow
2020-01-01T00:00:00,7189.43,7239.74,7170.15,7221.65,12055.759,656.813,0.0,0.0
2020-01-01T04:00:00,7221.8,7230.0,7193.52,7205.26,5738.351,-27.431,0.0,0.0
2020-01-01T08:00:00,7205.26,7234.57,7174.0,7192.65,10036.293,-389.037,0.0,0.0
2020-01-01T12:00:00,7192.74,7260.43,7191.79,7229.49,11010.528,902.672,0.0,0.0
2020-01-01T16:00:00,7229.66,7248.0,7210.81,7226.35,7787.862,420.528,0.0,0.0
2020-01-01T20:00:00,7226.56,7242.0,7174.0,7197.57,10172.536,-696.474,0.0,0.0
2020-01-02T00:00:00,7197.57,7209.59,7121.0,7127.29,13363.9,-1823.714,0.0,0.0
2020-01-02T04:00:00,7126.94,7159.3,7101.0,7107.56,15610.361,-580.137,0.0,0.0
2020-01-02T08:00:00,7107.53,7175.0,7106.75,7136.24,15351.811,1261.309,0.0,0.0
2020-01-02T12:00:00,7136.36,7160.0,7103.0,7126.25,16636.556,-786.686,0.0,0.0
2020-01-02T16:00:00,7126.25,7143.29,6922.0,6979.44,43801.316,-2898.224,0.0,0.0
2020-01-02T20:00:00,6979.45,6982.83,6938.36,6962.04,10531.733,340.299,0.0,0.0
2020-01-03T00:00:00,6962.34,6962.8,6863.44,6947.35,23421.061,-1086.403,0.0,0.0
2020-01-03T04:00:00,6947.44,7300.0,6945.84,7198.02,52550.895,4496.395,0.0,0.0
2020-01-03T08:00:00,7198.02,7368.33,7198.0,7338.11,44019.993,1414.731,0.0,0.0
2020-01-03T12:00:00,7338.4,7379.0,7229.0,7316.01,29634.459,564.889,0.0,0.0
2020-01-03T16:00:00,7315.36,7407.28,7276.35,7338.9,37060.384,689.954,0.0,0.0
2020-01-03T20:00:00,7338.91,7359.0,7255.84,7341.72,21806.666,398.906,0.0,0.0
2020-01-04T00:00:00,7341.6,7347.02,7279.0,7329.29,11043.555,-693.749,0.0,0.0
2020-01-04T04:00:00,7329.4,7368.47,7310.0,7344.13,13403.937,-125.591,0.0,0.0
2020-01-04T08:00:00,7344.11,7366.0,7295.2,7333.07,14214.085,-282.531,0.0,0.0
2020-01-04T12:00:00,7333.07,7333.54,7286.16,7315.45,12785.519,-240.145,0.0,0.0
2020-01-04T16:00:00,7315.94,7400.0,7269.21,7331.35,30435.423,696.057,0.0,0.0
2020-01-04T20:00:00,7331.87,7362.87,7307.0,7350.71,10703.514,338.106,0.0,0.0
2020-01-05T00:00:00,7350.54,7488.0,7350.54,7475.15,34313.211,4206.063,0.0,0.0
2020-01-05T04:00:00,7475.19,7495.0,7440.0,7462.98,14041.039,-40.187,0.0,0.0
2020-01-05T08:00:00,7463.42,7470.0,7385.76,7422.48,17007.021,-1118.527,0.0,0.0
2020-01-05T12:00:00,7422.48,7474.21,7414.13,7463.59,15904.588,-154.214,0.0,0.0
2020-01-05T16:00:00,7463.76,7478.0,7420.0,7441.83,14317.588,-549.876,0.0,0.0
2020-01-05T20:00:00,7441.9,7441.9,7303.0,7354.36,22182.525,-3214.145,0.0,0.0
2020-01-06T00:00:00,7354.36,7580.08,7345.0,7538.65,42104.905,2549.481,0.0,0.0
2020-01-06T04:00:00,7538.66,7550.45,7491.59,7505.35,15005.412,-323.328,0.0,0.0
2020-01-06T08:00:00,7505.36,7576.0,7505.35,7540.0,20884.833,-579.119,0.0,0.0
2020-01-06T12:00:00,7539.99,7611.81,7481.74,7515.92,27521.187,-998.129,0.0,0.0
2020-01-06T16:00:00,7516.03,7558.75,7507.0,7537.89,13584.214,-90.072,0.0,0.0
2020-01-06T20:00:00,7536.72,7808.65,7533.0,7757.39,49049.766,3353.674,0.0,0.0
2020-01-07T00:00:00,7757.74,8014.91,7757.0,7898.59,61674.438,1311.834,0.0,0.0
2020-01-07T04:00:00,7899.0,7908.95,7826.18,7886.66,21354.686,-445.972,0.0,0.0
2020-01-07T08:00:00,7886.95,7969.0,7860.0,7899.86,23334.683,-52.419,0.0,0.0
2020-01-07T12:00:00,7898.9,7918.19,7746.0,7769.11,40818.309,-1817.893,0.0,0.0
2020-01-07T16:00:00,7769.73,8133.0,7733.0,8077.71,72464.068,2409.478,0.0,0.0
2020-01-07T20:00:00,8077.71,8215.33,7952.0,8152.49,61162.978,-806.354,0.0,0.0
2020-01-08T00:00:00,8150.9,8468.42,8144.02,8302.62,88963.033,639.009,0.0,0.0
2020-01-08T04:00:00,8302.97,8381.87,8280.0,8301.47,24655.45,-1032.862,0.0,0.0
2020-01-08T08:00:00,8301.5,8379.51,8267.0,8335.28,24056.52,586.234,0.0,0.0
2020-01-08T12:00:00,8335.28,8427.97,8201.1,8306.39,64041.926,-3041.98,0.0,0.0
2020-01-08T16:00:00,8308.23,8340.86,7964.41,7965.05,74773.652,-3762.922,0.0,0.0
2020-01-08T20:00:00,7966.97,8129.0,7870.11,8059.84,44734.533,-91.687,0.0,0.0
2020-01-09T00:00:00,8059.77,8060.0,7932.0,7957.38,26658.967,-870.991,0.0,0.0
2020-01-09T04:00:00,7958.0,7980.73,7898.0,7953.76,22050.001,-293.873,0.0,0.0
2020-01-09T08:00:00,7953.99,7960.0,7851.91,7881.53,30415.775,-1528.723,0.0,0.0
2020-01-09T12:00:00,7881.52,7948.11,7874.23,7909.39,23619.757,-450.205,0.0,0.0
2020-01-09T16:00:00,7909.81,7963.0,7776.0,7921.34,39522.49,37.404,0.0,0.0
2020-01-09T20:00:00,7921.6,8006.83,7750.01,7818.59,44996.153,-1304.637,0.0,0.0
2020-01-10T00:00:00,7817.91,7855.0,7767.22,7818.53,16038.321,-602.549,0.0,0.0
2020-01-10T04:00:00,7818.3,7818.3,7718.05,7752.37,22039.693,-1087.909,0.0,0.0
2020-01-10T08:00:00,7752.31,7854.32,7670.0,7841.02,44376.606,727.968,0.0,0.0
2020-01-10T12:00:00,7841.0,8088.0,7808.32,8066.68,58861.17,3543.674,0.0,0.0
2020-01-10T16:00:00,8068.26,8145.41,7912.95,8064.34,75750.194,54.938,0.0,0.0
2020-01-10T20:00:00,8062.68,8210.62,7985.38,8207.09,36717.964,2326.854,0.0,0.0
2020-01-11T00:00:00,8207.2,8261.33,8131.93,8165.85,31173.411,-899.355,0.0,0.0
2020-01-11T04:00:00,8165.29,8187.0,8048.0,8079.53,26143.671,-561.065,0.0,0.0
2020-01-11T08:00:00,8079.17,8135.26,8012.29,8049.81,25190.553,101.131,0.0,0.0
2020-01-11T12:00:00,8049.26,8120.06,8020.0,8101.69,20293.496,-456.664,0.0,0.0
2020-01-11T16:00:00,8101.69,8219.38,8070.56,8153.9,25922.665,865.021,0.0,0.0
2020-01-11T20:00:00,8153.37,8292.19,8003.87,8020.56,36017.919,-1300.925,0.0,0.0
2020-01-12T00:00:00,8020.58,8119.24,7956.28,8092.1,21734.113,132.905,0.0,0.0
2020-01-12T04:00:00,8092.09,8155.0,8072.0,8097.55,12366.872,-477.91,0.0,0.0
2020-01-12T08:00:00,8099.33,8166.72,8088.3,8117.73,14683.22,680.496,0.0,0.0
2020-01-12T12:00:00,8117.7,8186.0,8117.2,8154.42,16442.389,-366.773,0.0,0.0
2020-01-12T16:00:00,8154.35,8195.0,8070.13,8132.0,29876.527,-79.659,0.0,0.0
2020-01-12T20:00:00,8131.99,8189.0,8088.82,8186.7,13526.843,798.449,0.0,0.0
2020-01-13T00:00:00,8186.22,8200.0,8090.0,8108.23,13560.775,-671.507,0.0,0.0
2020-01-13T04:00:00,8107.88,8125.91,8053.78,8074.33,11774.927,-1073.907,0.0,0.0
2020-01-13T08:00:00,8075.0,8135.93,8063.92,8080.0,12296.28,-344.59,0.0,0.0
2020-01-13T12:00:00,8080.0,8115.05,8055.0,8085.86,12488.641,202.919,0.0,0.0
2020-01-13T16:00:00,8085.86,8132.0,8072.0,8111.81,10521.23,59.982,0.0,0.0
2020-01-13T20:00:00,8111.82,8165.0,8096.98,8113.0,13939.511,622.893,0.0,0.0
2020-01-14T00:00:00,8112.99,8485.0,8109.02,8469.84,61297.173,5436.337,0.0,0.0
2020-01-14T04:00:00,8469.54,8598.27,8467.74,8515.53,33643.582,-197.134,0.0,0.0
2020-01-14T08:00:00,8514.95,8567.9,8476.0,8530.24,21271.009,-1071.529,0.0,0.0
2020-01-14T12:00:00,8530.24,8770.0,8479.54,8686.0,71426.11,2751.652,0.0,0.0
2020-01-14T16:00:00,8686.0,8864.99,8520.0,8776.62,76457.768,1426.728,0.0,0.0
2020-01-14T20:00:00,8776.61,8893.0,8678.01,8825.0,26682.339,-208.621,0.0,0.0
2020-01-15T00:00:00,8825.0,8918.5,8710.0,8730.41,44397.38,-3816.27,0.0,0.0
2020-01-15T04:00:00,8730.08,8745.0,8570.52,8631.59,38345.254,-2566.61,0.0,0.0
2020-01-15T08:00:00,8631.38,8811.0,8610.68,8738.06,32050.674,382.592,0.0,0.0
