date,open,high,low,close,volume,fear_greed,vix,sentiment
2026-04-06T00:00:00+00:00,2108.78,2118.71,2108.78,2118.71,0,55.5,24.17,0.0
2026-04-06T00:05:00+00:00,2119.16,2124.71,2119.16,2121.49,447175680,55.6,24.17,1.2
2026-04-06T00:10:00+00:00,2119.98,2119.98,2116.76,2118.16,30029824,55.4,24.17,-0.2
2026-04-06T00:15:00+00:00,2119.07,2123.84,2119.07,2119.22,216945664,55.5,24.17,0.2
2026-04-06T00:20:00+00:00,2119.95,2121.04,2117.76,2121.04,0,55.6,24.17,1.0
2026-04-06T00:25:00+00:00,2122.65,2122.65,2120.39,2120.39,138142720,55.5,24.17,0.7
2026-04-06T00:30:00+00:00,2122.6,2126.85,2122.6,2124.39,46850048,55.7,24.17,2.4
2026-04-06T00:35:00+00:00,2120.56,2122.68,2120.22,2122.68,0,55.6,24.17,1.7
2026-04-06T00:40:00+00:00,2122.45,2128.19,2122.45,2128.19,146324480,55.9,24.17,4.0
2026-04-06T00:45:00+00:00,2127.48,2128.04,2125.66,2126.2,57105408,55.7,24.17,3.2
2026-04-06T00:50:00+00:00,2124.19,2124.6,2122.37,2122.37,0,55.5,24.17,1.6
2026-04-06T00:55:00+00:00,2121.85,2122.26,2121.35,2121.35,99054592,55.5,24.17,-0.1
2026-04-06T01:00:00+00:00,2121.19,2123.03,2119.6,2119.6,44361728,55.4,24.17,0.6
2026-04-06T01:05:00+00:00,2117.59,2119.81,2117.23,2117.23,75064320,55.3,24.17,-0.8
2026-04-06T01:10:00+00:00,2117.64,2119.51,2117.08,2117.54,0,54.8,24.17,-1.5
2026-04-06T01:15:00+00:00,2115.48,2115.48,2114.56,2114.56,109079552,51.9,24.17,-2.5
2026-04-06T01:20:00+00:00,2114.06,2115.45,2112.48,2115.45,0,53.9,24.17,-3.8
2026-04-06T01:25:00+00:00,2114.23,2117.38,2114.23,2117.2,51492864,54.3,24.17,-2.3
2026-04-06T01:30:00+00:00,2117.42,2118.21,2115.08,2115.08,102008832,52.3,24.17,-5.5
2026-04-06T01:35:00+00:00,2114.97,2116.42,2114.97,2116.42,30312448,53.4,24.17,-4.1
2026-04-06T01:40:00+00:00,2116.37,2116.37,2114.99,2115.14,49440768,50.4,24.17,-3.1
2026-04-06T01:45:00+00:00,2114.82,2117.11,2114.82,2116.18,33447936,51.9,24.17,-2.2
2026-04-06T01:50:00+00:00,2115.38,2116.42,2115.38,2115.5,1728512,47.1,24.17,-1.7
2026-04-06T01:55:00+00:00,2115.0,2115.24,2114.98,2115.24,18310144,47.7,24.17,-0.8
2026-04-06T02:00:00+00:00,2114.23,2116.52,2114.23,2115.47,9353216,49.6,24.17,-0.9
2026-04-06T02:05:00+00:00,2117.88,2119.24,2117.07,2117.07,0,52.0,24.17,1.1
2026-04-06T02:10:00+00:00,2120.18,2137.26,2120.18,2135.14,148714496,63.1,24.17,8.4
2026-04-06T02:15:00+00:00,2133.25,2134.62,2132.12,2133.42,150446080,63.3,24.17,6.9
2026-04-06T02:20:00+00:00,2137.0,2137.37,2134.04,2134.04,42531840,63.4,24.17,8.1
2026-04-06T02:25:00+00:00,2133.37,2133.37,2130.34,2132.49,73073664,64.3,24.17,6.8
2026-04-06T02:30:00+00:00,2133.24,2138.96,2133.24,2138.68,69278720,65.5,24.17,10.0
2026-04-06T02:35:00+00:00,2137.44,2137.44,2134.84,2134.84,89194496,62.8,24.17,7.9
2026-04-06T02:40:00+00:00,2134.71,2134.71,2131.63,2131.63,42649600,62.0,24.17,6.9
2026-04-06T02:45:00+00:00,2132.43,2134.44,2132.43,2133.67,52547584,62.2,24.17,7.8
2026-04-06T02:50:00+00:00,2133.21,2133.66,2132.66,2132.66,79744000,62.3,24.17,7.3
2026-04-06T02:55:00+00:00,2132.66,2133.11,2132.59,2133.11,52178944,62.2,24.17,6.8
2026-04-06T03:00:00+00:00,2132.95,2133.15,2132.64,2132.65,0,62.3,24.17,-1.1
2026-04-06T03:05:00+00:00,2132.78,2132.91,2131.94,2131.94,220300288,62.0,24.17,-0.6
2026-04-06T03:10:00+00:00,2131.96,2134.48,2131.96,2133.2,0,62.3,24.17,-0.4
2026-04-06T03:15:00+00:00,2131.12,2131.91,2131.12,2131.74,37859328,61.1,24.17,-0.3
2026-04-06T03:20:00+00:00,2129.73,2134.97,2129.73,2132.36,238979072,54.3,24.17,-2.7
2026-04-06T03:25:00+00:00,2134.8,2135.75,2134.8,2135.31,68553728,57.2,24.17,0.2
2026-04-06T03:30:00+00:00,2135.01,2135.03,2134.22,2134.22,64016384,56.1,24.17,1.1
2026-04-06T03:35:00+00:00,2133.86,2134.69,2133.55,2133.55,3000320,56.6,24.17,-0.1
2026-04-06T03:40:00+00:00,2133.0,2133.0,2130.37,2130.93,0,50.7,24.17,-0.7
2026-04-06T03:45:00+00:00,2130.68,2131.81,2130.37,2130.37,33347584,52.3,24.17,-1.2
2026-04-06T03:50:00+00:00,2130.2,2130.61,2127.79,2128.25,4531200,52.9,24.17,-1.9
2026-04-06T03:55:00+00:00,2126.49,2127.49,2126.49,2127.35,124002304,50.0,24.17,-1.9
2026-04-06T04:00:00+00:00,2127.87,2130.89,2127.87,2130.89,0,54.4,24.17,-1.0
2026-04-06T04:05:00+00:00,2132.93,2132.93,2127.93,2127.93,95797248,52.1,24.17,-1.6
2026-04-06T04:10:00+00:00,2126.71,2126.71,2125.65,2126.7,33541120,51.6,24.17,-2.4
2026-04-06T04:15:00+00:00,2127.17,2127.17,2126.38,2126.46,8645632,51.9,24.17,-3.7
2026-04-06T04:20:00+00:00,2124.93,2125.3,2124.93,2125.28,0,50.1,24.17,-3.8
2026-04-06T04:25:00+00:00,2125.09,2126.06,2125.09,2125.92,112601088,51.4,24.17,-3.2
2026-04-06T04:30:00+00:00,2126.17,2126.83,2126.05,2126.2,16730112,51.1,24.17,-2.0
2026-04-06T04:35:00+00:00,2127.36,2133.04,2127.36,2133.04,25716736,54.6,24.17,1.1
2026-04-06T04:40:00+00:00,2132.09,2132.4,2131.88,2132.4,17648640,54.8,24.17,1.8
2026-04-06T04:45:00+00:00,2131.97,2131.97,2131.11,2131.19,92824576,54.4,24.17,1.6
2026-04-06T04:50:00+00:00,2130.78,2130.78,2129.9,2130.66,0,55.6,24.17,-0.1
2026-04-06T04:55:00+00:00,2130.9,2130.92,2130.08,2130.08,27410432,55.5,24.17,0.9
2026-04-06T05:00:00+00:00,2130.21,2130.21,2129.34,2129.69,0,56.7,24.17,1.3
2026-04-06T05:05:00+00:00,2129.72,2130.43,2129.72,2130.16,48527360,57.8,24.17,1.6
2026-04-06T05:10:00+00:00,2130.57,2130.57,2130.05,2130.35,0,55.3,24.17,2.1
2026-04-06T05:15:00+00:00,2130.15,2131.27,2130.15,2130.72,0,58.6,24.17,2.0
2026-04-06T05:20:00+00:00,2130.93,2132.02,2130.93,2132.02,19551232,61.2,24.17,2.5
2026-04-06T05:25:00+00:00,2132.19,2132.19,2129.38,2130.05,9151488,59.0,24.17,-1.3
2026-04-06T05:30:00+00:00,2129.99,2130.79,2129.67,2130.79,4861952,60.9,24.17,-0.7
2026-04-06T05:35:00+00:00,2130.89,2130.89,2130.18,2130.19,25676800,59.7,24.17,-0.4
2026-04-06T05:40:00+00:00,2129.86,2130.08,2129.41,2129.9,4079616,59.1,24.17,-0.3
2026-04-06T05:45:00+00:00,2130.25,2130.86,2130.25,2130.32,20853760,51.5,24.17,0.1
2026-04-06T05:50:00+00:00,2128.19,2129.27,2128.19,2129.27,9153536,51.0,24.17,-0.2
2026-04-06T05:55:00+00:00,2129.62,2130.31,2129.62,2130.31,0,54.4,24.17,0.1
2026-04-06T06:00:00+00:00,2130.53,2130.69,2127.8,2127.8,0,52.0,24.17,-1.1
2026-04-06T06:05:00+00:00,2127.68,2132.14,2127.68,2132.14,29219840,57.8,24.17,0.6
2026-04-06T06:10:00+00:00,2132.22,2137.53,2132.22,2136.26,0,61.1,24.17,1.8
2026-04-06T06:15:00+00:00,2135.83,2135.83,2133.57,2133.88,0,58.5,24.17,1.6
2026-04-06T06:20:00+00:00,2133.76,2133.76,2125.34,2125.34,170195968,52.9,24.17,-2.3
2026-04-06T06:25:00+00:00,2125.91,2125.91,2121.17,2121.17,7168000,50.9,24.17,-3.8
2026-04-06T06:30:00+00:00,2120.82,2121.89,2120.49,2121.03,0,50.1,24.17,-3.7
2026-04-06T06:35:00+00:00,2121.37,2122.02,2121.37,2122.02,42030080,51.4,24.17,-3.5
2026-04-06T06:40:00+00:00,2121.85,2124.16,2121.7,2124.16,62058496,52.3,24.17,-2.2
2026-04-06T06:45:00+00:00,2122.68,2124.07,2122.68,2124.07,46479360,52.5,24.17,-2.6
2026-04-06T06:50:00+00:00,2124.14,2128.99,2124.14,2126.99,37774336,54.3,24.17,-0.3
2026-04-06T06:55:00+00:00,2126.71,2127.62,2126.45,2126.92,52472832,54.0,24.17,-2.2
2026-04-06T07:00:00+00:00,2126.7,2127.24,2125.66,2125.66,11948032,53.9,24.17,-4.5
2026-04-06T07:05:00+00:00,2123.44,2123.44,2122.71,2122.98,0,52.3,24.17,-4.6
2026-04-06T07:10:00+00:00,2122.73,2124.24,2122.73,2124.24,30842880,53.9,24.17,-0.5
2026-04-06T07:15:00+00:00,2124.14,2128.31,2124.14,2128.31,4443136,54.0,24.17,3.0
2026-04-06T07:20:00+00:00,2128.51,2133.19,2128.51,2133.19,10200064,54.6,24.17,5.2
2026-04-06T07:25:00+00:00,2133.67,2134.87,2133.67,2134.55,0,56.2,24.17,5.3
2026-04-06T07:30:00+00:00,2133.79,2133.79,2132.61,2132.61,207044608,59.7,24.17,3.6
2026-04-06T07:35:00+00:00,2132.24,2135.51,2132.24,2132.95,93375488,63.2,24.17,3.8
2026-04-06T07:40:00+00:00,2132.46,2132.46,2131.39,2131.39,22753280,61.8,24.17,1.9
2026-04-06T07:45:00+00:00,2130.65,2130.88,2130.54,2130.54,0,60.7,24.17,1.5
2026-04-06T07:50:00+00:00,2131.8,2138.16,2131.8,2136.97,3985408,62.5,24.17,4.8
2026-04-06T07:55:00+00:00,2137.76,2137.76,2134.21,2134.21,93179904,60.6,24.17,4.8
2026-04-06T08:00:00+00:00,2134.17,2135.94,2134.17,2135.84,15292416,60.3,24.17,4.9
2026-04-06T08:05:00+00:00,2135.63,2135.63,2133.94,2135.34,123259904,60.0,24.17,3.0
2026-04-06T08:10:00+00:00,2135.16,2137.2,2135.16,2136.96,51094528,61.4,24.17,1.6
2026-04-06T08:15:00+00:00,2136.66,2136.66,2135.58,2136.21,43873280,62.6,24.17,0.7
2026-04-06T08:20:00+00:00,2135.14,2135.48,2134.77,2135.48,20339712,61.7,24.17,1.2
2026-04-06T08:25:00+00:00,2138.68,2139.16,2136.0,2136.0,27223040,60.4,24.17,1.3
2026-04-06T08:30:00+00:00,2136.15,2136.25,2135.9,2136.25,24158208,58.1,24.17,2.1
2026-04-06T08:35:00+00:00,2136.64,2143.5,2136.64,2140.98,64794624,60.2,24.17,4.4
2026-04-06T08:40:00+00:00,2140.71,2140.71,2139.81,2139.81,37093376,60.7,24.17,1.2
