date,open,high,low,close,volume,fear_greed,vix,sentiment
2026-03-09T08:00:00+00:00,10284.96,10284.96,10128.96,10139.16,0,54.5,25.5,0.0
2026-03-09T08:05:00+00:00,10138.58,10141.52,10102.44,10109.22,0,54.3,25.5,-2.7
2026-03-09T08:10:00+00:00,10109.73,10111.76,10086.34,10095.26,0,54.2,25.5,-3.9
2026-03-09T08:15:00+00:00,10094.62,10115.64,10081.98,10105.0,0,54.4,25.5,-3.0
2026-03-09T08:20:00+00:00,10105.05,10129.3,10101.1,10118.22,0,54.5,25.5,-1.9
2026-03-09T08:25:00+00:00,10118.27,10130.29,10096.4,10096.72,0,54.3,25.5,-3.8
2026-03-09T08:30:00+00:00,10096.39,10113.46,10088.62,10107.74,0,54.4,25.5,-2.8
2026-03-09T08:35:00+00:00,10107.6,10118.8,10104.75,10108.04,0,54.4,25.5,-2.8
2026-03-09T08:40:00+00:00,10107.98,10110.41,10095.29,10097.08,0,54.3,25.5,-3.7
2026-03-09T08:45:00+00:00,10097.14,10126.37,10097.06,10119.75,0,54.6,25.5,-1.7
2026-03-09T08:50:00+00:00,10119.75,10128.2,10118.65,10118.75,0,54.6,25.5,-1.8
2026-03-09T08:55:00+00:00,10118.81,10119.12,10098.87,10109.53,0,54.5,25.5,0.0
2026-03-09T09:00:00+00:00,10109.95,10118.63,10096.04,10096.04,0,54.3,25.5,0.1
2026-03-09T09:05:00+00:00,10095.94,10098.9,10084.53,10093.85,0,54.3,25.5,-1.0
2026-03-09T09:10:00+00:00,10093.6,10107.5,10089.71,10107.21,0,51.7,25.5,-1.0
2026-03-09T09:15:00+00:00,10107.27,10130.01,10104.96,10128.51,0,56.5,25.5,2.8
2026-03-09T09:20:00+00:00,10128.73,10149.03,10128.5,10141.9,0,59.1,25.5,3.0
2026-03-09T09:25:00+00:00,10141.78,10153.11,10139.94,10151.06,0,59.2,25.5,3.8
2026-03-09T09:30:00+00:00,10151.1,10185.13,10146.02,10177.35,0,60.2,25.5,7.2
2026-03-09T09:35:00+00:00,10177.17,10179.3,10162.19,10171.8,0,62.1,25.5,4.6
2026-03-09T09:40:00+00:00,10171.76,10171.86,10155.73,10160.55,0,59.9,25.5,3.7
2026-03-09T09:45:00+00:00,10160.45,10173.54,10159.05,10173.54,0,60.7,25.5,5.7
2026-03-09T09:50:00+00:00,10173.49,10173.65,10164.23,10166.62,0,61.1,25.5,6.3
2026-03-09T09:55:00+00:00,10166.61,10166.61,10160.68,10164.81,0,59.5,25.5,6.3
2026-03-09T10:00:00+00:00,10164.73,10172.54,10150.08,10151.78,0,57.8,25.5,4.0
2026-03-09T10:05:00+00:00,10151.9,10160.35,10143.76,10149.54,0,58.6,25.5,1.9
2026-03-09T10:10:00+00:00,10149.54,10156.49,10142.14,10144.17,0,59.6,25.5,0.2
2026-03-09T10:15:00+00:00,10144.15,10152.01,10141.57,10143.01,0,59.7,25.5,-0.7
2026-03-09T10:20:00+00:00,10142.97,10152.25,10138.37,10139.3,0,58.2,25.5,-3.4
2026-03-09T10:25:00+00:00,10139.48,10144.81,10135.23,10135.23,0,55.4,25.5,-3.2
2026-03-09T10:30:00+00:00,10135.23,10135.9,10129.21,10132.7,0,53.2,25.5,-2.5
2026-03-09T10:35:00+00:00,10132.67,10141.7,10125.3,10133.92,0,51.9,25.5,-3.5
2026-03-09T10:40:00+00:00,10133.96,10148.77,10133.52,10145.53,0,48.9,25.5,-1.9
2026-03-09T10:45:00+00:00,10145.62,10146.94,10139.31,10143.11,0,49.2,25.5,-1.9
2026-03-09T10:50:00+00:00,10143.09,10146.49,10135.07,10146.48,0,51.7,25.5,-0.5
2026-03-09T10:55:00+00:00,10146.75,10153.3,10143.69,10152.74,0,50.0,25.5,0.3
2026-03-09T11:00:00+00:00,10152.93,10161.74,10152.18,10158.3,0,52.8,25.5,1.3
2026-03-09T11:05:00+00:00,10158.34,10163.42,10158.0,10158.51,0,53.3,25.5,1.4
2026-03-09T11:10:00+00:00,10158.53,10158.6,10152.34,10152.34,0,54.8,25.5,1.2
2026-03-09T11:15:00+00:00,10152.3,10152.37,10146.98,10147.54,0,54.1,25.5,1.1
2026-03-09T11:20:00+00:00,10147.54,10149.15,10140.67,10148.61,0,55.9,25.5,1.4
2026-03-09T11:25:00+00:00,10148.31,10148.31,10138.39,10138.66,0,53.5,25.5,0.4
2026-03-09T11:30:00+00:00,10138.7,10151.17,10135.23,10151.17,0,57.1,25.5,0.5
2026-03-09T11:35:00+00:00,10151.5,10163.95,10151.5,10163.77,0,60.1,25.5,1.8
2026-03-09T11:40:00+00:00,10163.73,10165.87,10158.43,10165.62,0,61.0,25.5,1.7
2026-03-09T11:45:00+00:00,10165.5,10175.99,10164.2,10168.45,0,61.2,25.5,1.4
2026-03-09T11:50:00+00:00,10168.46,10174.66,10167.1,10172.15,0,60.3,25.5,1.2
2026-03-09T11:55:00+00:00,10172.17,10172.5,10165.83,10165.83,0,59.2,25.5,0.6
2026-03-09T12:00:00+00:00,10165.78,10171.86,10163.33,10170.3,0,59.4,25.5,1.6
2026-03-09T12:05:00+00:00,10170.39,10178.89,10170.39,10173.12,0,58.9,25.5,2.3
2026-03-09T12:10:00+00:00,10173.11,10173.33,10168.17,10172.88,0,58.0,25.5,2.2
2026-03-09T12:15:00+00:00,10172.82,10176.46,10172.14,10176.33,0,58.6,25.5,3.3
2026-03-09T12:20:00+00:00,10176.5,10178.25,10173.66,10174.32,0,59.7,25.5,2.1
2026-03-09T12:25:00+00:00,10174.32,10183.02,10172.55,10182.51,0,62.2,25.5,1.7
2026-03-09T12:30:00+00:00,10182.56,10187.81,10180.27,10180.39,0,61.4,25.5,1.3
2026-03-09T12:35:00+00:00,10180.41,10180.41,10166.18,10166.18,0,60.1,25.5,-0.2
2026-03-09T12:40:00+00:00,10166.13,10166.13,10155.16,10155.48,0,55.5,25.5,-1.5
2026-03-09T12:45:00+00:00,10155.51,10156.98,10147.51,10147.51,0,51.1,25.5,-1.6
2026-03-09T12:50:00+00:00,10147.38,10147.42,10142.06,10142.37,0,49.7,25.5,-2.5
2026-03-09T12:55:00+00:00,10142.41,10147.04,10140.3,10146.71,0,50.2,25.5,-2.3
2026-03-09T13:00:00+00:00,10146.77,10181.12,10146.18,10179.39,0,55.9,25.5,0.6
2026-03-09T13:05:00+00:00,10179.39,10179.39,10167.6,10169.75,0,55.3,25.5,-0.6
2026-03-09T13:10:00+00:00,10169.76,10186.62,10169.76,10185.94,0,56.9,25.5,1.0
2026-03-09T13:15:00+00:00,10185.89,10190.23,10185.64,10189.18,0,57.0,25.5,0.6
2026-03-09T13:20:00+00:00,10189.19,10189.55,10184.27,10184.81,0,56.4,25.5,0.4
2026-03-09T13:25:00+00:00,10184.51,10190.37,10177.85,10189.76,0,56.6,25.5,2.1
2026-03-09T13:30:00+00:00,10189.89,10204.0,10189.74,10203.57,0,58.3,25.5,4.3
2026-03-09T13:35:00+00:00,10203.62,10207.68,10193.97,10194.0,0,56.2,25.5,4.1
